id;image;title;author;format;nazwa;rozmiary;kategoria;cena_duzy;cena_maly;ilosc(quantity)
424;https://as2.ftcdn.net/jpg/03/07/21/01/500_F_307210190_bu3kblJYLhNwiCb1Iq6ROemgfdw3Rset.jpg;England  Common Blue  Polyommatus Icarus;Westend61;jpeg;Rozmiar;5241x3498,1687x1126;Makro;1120.99;538.99;94
425;https://as2.ftcdn.net/jpg/02/14/86/85/500_F_214868535_40FjdsupC1L0NjG8cmnmixJotmIOFzx9.jpg;Hornet (Vespa crabro)  Untergroeningen  Baden-Wuerttemberg  Germany  Europe;imageBROKER;jpeg;Rozmiar;5482x3620,1696x1120;Makro;1120.99;538.99;95
426;https://as1.ftcdn.net/jpg/03/75/20/04/500_F_375200452_3qL8HPOCdSnq2SIi25uZjTjN7XLZ8uV2.jpg;Australian Wild Flowers;Rowena Naylor Photography\Stocksy;jpeg;Rozmiar;3072x2048,1688x1125;Makro;1120.99;538.99;50
427;https://as1.ftcdn.net/jpg/03/12/57/28/500_F_312572834_3HrbiwYNEm8L678IxrMNSszisKVA6TGz.jpg;A slice of citrus fruit that has air bubbles trapped within.;Alison Winterroth Photography\Stocksy;jpeg;Rozmiar;8256x5504,1688x1125;Makro;1120.99;538.99;10
428;https://as2.ftcdn.net/jpg/02/11/00/39/500_F_211003973_omfGkGPPvIQ6H7zn5An9tAGze8Q0xxZc.jpg;Zinnia flower  yellow on textured background;Bettina Gueber;jpeg;Rozmiar;5000x5000,1378x1378;Makro;1120.99;538.99;13
429;https://as1.ftcdn.net/jpg/01/73/04/44/500_F_173044417_MsEPPYLvQil7jV89rQbijv951YM3suW4.jpg;Macro of a droplet filled spider web with dew droplets;Carolyn Lagattuta\Stocksy;jpeg;Rozmiar;3344x5016,1125x1688;Makro;1120.99;538.99;78
430;https://as2.ftcdn.net/jpg/02/59/24/51/500_F_259245131_gq32Yxj99MTpzoLRWrsFEsYCeIEC7rVe.jpg;Tiny frog;Matt Watson\Stocksy;jpeg;Rozmiar;4895x3268,1687x1126;Makro;1120.99;538.99;40
431;https://as1.ftcdn.net/jpg/01/95/22/00/500_F_195220026_b3NbDUxsih4Ei0ZGDeHDoiAhyM28cW04.jpg;close-up of insect on plant;Miss Rein\Stocksy;jpeg;Rozmiar;2001x3001,1126x1688;Makro;1120.99;538.99;42
432;https://as2.ftcdn.net/jpg/02/90/59/09/500_F_290590942_5aQ7cOXdN8EXq8WKWH9USG0msv9rWsdR.jpg;Close up of Tiger beetle;Luciano Andres Richino\Scopio;jpeg;Rozmiar;5748x3837,1687x1126;Makro;1120.99;538.99;7
433;https://as2.ftcdn.net/jpg/02/66/40/53/500_F_266405377_Y3CgEJK88PklJNY31fJNykbQSEjNG7Ge.jpg;poppy macro;ALAN SHAPIRO\Stocksy;jpeg;Rozmiar;3840x5647,1137x1672;Makro;1120.99;538.99;75
