image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/03/82/48/27/500_F_382482792_aRiMXwmtfKqBnP1ZFGTpPB7qKiiJL7Ql.jpg;The Milky Way Draped Over Fuji;Leslie Taylor\Stocksy;jpeg;5451x3622;1691x1124;Astrofotografia;1120.99;538.99;41
https://as2.ftcdn.net/jpg/02/11/75/97/500_F_211759736_poRZhxfyXRuo3UYkMwEFlQRMcs9H0WHf.jpg;Lighthouse shining in the night of stars.;ADDICTIVE STOCK;jpeg;6261x4174;1688x1125;Astrofotografia;1120.99;538.99;67
https://as2.ftcdn.net/jpg/02/68/19/15/500_F_268191556_kdxdoPGosBIbnAZv6YfyFgiLi6XoiWDJ.jpg;Milky Way;Adam Nixon\Stocksy;jpeg;5759x3840;1688x1126;Astrofotografia;1120.99;538.99;76
https://as2.ftcdn.net/jpg/03/68/28/15/500_F_368281587_ydahNnX2zY6jRhhkhpcj1OLHuZJ2ArMz.jpg;Dam with windmill at night under starry sky;Rosalie Dibben\Austockphoto;jpeg;5472x3648;1688x1125;Astrofotografia;1120.99;538.99;55
https://as1.ftcdn.net/jpg/03/12/57/46/500_F_312574670_jKKsJxJBwfWsnRJR9CnhbNcfu0uwhCXG.jpg;A nighttime view of the river through Yosemite Valley with Yosemite falls in the distance;David Keller\Stocksy;jpeg;4928x3264;1694x1122;Astrofotografia;1120.99;538.99;53
https://as1.ftcdn.net/jpg/02/84/92/60/500_F_284926053_Bm7yMTzQI50S0NHEb3dVYsY4AlAKMV6O.jpg;New Zealand  South Island  Otago. A woman is sitting on an igloo under the Milky Way.;Tandem Stock;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;50
https://as2.ftcdn.net/jpg/02/59/25/15/500_F_259251522_7fxm2OVQvazEzCmxEER4q1m7hKO2IPMF.jpg;Red trees under milky way galaxy;Justin Mullet\Stocksy;jpeg;3648x5472;1125x1688;Astrofotografia;1120.99;538.99;17
https://as2.ftcdn.net/jpg/02/07/98/83/500_F_207988397_qd4OIdzElEGGOiskz2peSNbMaJJsuZVa.jpg;Astrophotography scenes;JavierPardina\Stocksy;jpeg;7952x5304;1688x1126;Astrofotografia;1120.99;538.99;39
https://as1.ftcdn.net/jpg/03/72/61/12/500_F_372611287_eW6zINA2I2MHHPApD0jHCrskhUPiFSHj.jpg;Man observing the night sky with the Milky Way in the background in the middle of the forest;Marcos Osorio\ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;54
https://as2.ftcdn.net/jpg/02/72/50/89/500_F_272508943_TiQd3KDXCA1ZIz5M70V4xYTViUl7b1sv.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;68
https://as1.ftcdn.net/jpg/01/13/92/98/500_F_113929877_DombXTslqxjV4Henmm1oeDfKfeooujxx.jpg;Iceland  Jokulsarlon. Aurora lights reflect in lagoon.;Danita Delimont;jpeg;5100x3400;1688x1125;Astrofotografia;2240.99;1120.99;20
https://as2.ftcdn.net/jpg/02/68/21/91/500_F_268219170_sf3cmBi8w4RUXrCWB6k1drCr9yWRdkfM.jpg;Milky Way Galaxy;AD Photography\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;92
https://as1.ftcdn.net/jpg/03/80/46/52/500_F_380465273_fRHa3Ol0NdCJdRZWoFJwHc8RRFljBlOg.jpg;Milky Way Galaxy;Evan Dalen\Stocksy;jpeg;5385x3590;1688x1125;Astrofotografia;1120.99;538.99;55
https://as2.ftcdn.net/jpg/03/80/83/79/500_F_380837940_Ocoj379oPQ5Rz3Fx1gKFtNFFGH5auTI8.jpg;Moon and planet framed by trees and a starry night sky;Tom Eells Photo\Stocksy;jpeg;6144x4096;1688x1125;Astrofotografia;1120.99;538.99;22
https://as2.ftcdn.net/jpg/02/36/56/25/500_F_236562573_cfEo4tbSleEpUu0HJK1Pqb1NLIvhJAol.jpg;The end of the Heart nebula in colour;Sara Wager\Stocksy;jpeg;8000x5646;1641x1158;Astrofotografia;1120.99;538.99;24
https://as1.ftcdn.net/jpg/01/77/04/56/500_F_177045624_6jsGu6TSMNxUtakW7jbsjxi1XzbguBHr.jpg;snowcovered austrian mountains under starry night;Leander Nardin\Stocksy;jpeg;5184x3456;1688x1125;Astrofotografia;1120.99;538.99;63
https://as2.ftcdn.net/jpg/01/78/15/77/500_F_178157768_cN3KojqP3Tz4rhn7fEL3SLCEnf4AnBDF.jpg;Starfields;Michael Shainblum\Stocksy;jpeg;6000x3375;1838x1034;Astrofotografia;1120.99;538.99;80
https://as2.ftcdn.net/jpg/03/83/53/17/500_F_383531771_dB2dIvAlEgafEmpJz35S3RY2pgQYvyJO.jpg;Silhouette of man star gazing on a picnic table under the Milkyway.;Cavan Images;jpeg;3054x3817;1233x1541;Astrofotografia;1120.99;538.99;18
https://as2.ftcdn.net/jpg/02/59/75/69/500_F_259756904_CJCP6gNxTXWJBfSb0TpBO2KIpYTo5Jl8.jpg;Milky Way over Milford Sound  South Island  New Zealand;RooM The Agency;jpeg;5332x3000;1838x1034;Astrofotografia;1120.99;538.99;80
https://as1.ftcdn.net/jpg/01/87/55/84/500_F_187558482_n7ago1BmBIqIPkM3X5hrUsyp9nxpblXF.jpg;Milky Way and Stars;Luke Gram\Stocksy;jpeg;2995x3744;1233x1541;Astrofotografia;1120.99;538.99;58
https://as1.ftcdn.net/jpg/03/82/48/32/500_F_382483242_brxQLdLo4iN7b5GRO7jQJXjtCH6Tm2jD.jpg;Tip Of Mt Fuji With Milky Way;Leslie Taylor\Stocksy;jpeg;5419x3696;1669x1138;Astrofotografia;1120.99;538.99;54
https://as2.ftcdn.net/jpg/02/11/75/97/500_F_211759733_rGTeQ3ZucXY8jeRr80PcWKLahkdL2jKj.jpg;Lighthouse shining in the night of stars.;ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;30
https://as2.ftcdn.net/jpg/02/68/87/15/500_F_268871582_KFxKCoSDNSO5hoNRzrdGjeE32HelJDtT.jpg;Milky Way;Adam Nixon\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;91
https://as2.ftcdn.net/jpg/03/68/28/07/500_F_368280776_UJnQEd6udhHuUTCk1JlbKDFjVo7lpO39.jpg;Milky Way rising in starry sky;Rosalie Dibben\Austockphoto;jpeg;5226x3484;1688x1125;Astrofotografia;1120.99;538.99;19
https://as1.ftcdn.net/jpg/03/82/58/74/500_F_382587447_TGL4GyNxaK6jND4UXnOeQvzufTZ0EZHX.jpg;Milky Way;Marilar Irastorza\Stocksy;jpeg;5760x3840;1688x1125;Astrofotografia;1120.99;538.99;105
https://as1.ftcdn.net/jpg/02/41/76/18/500_F_241761870_Le0oI4YV4T3LIWtoa2s2S2y9YtuzreB2.jpg;Stars rotate around Polaris at the Mesquite Sand Dunes in Death Valley National Park CA.;Tandem Stock;jpeg;7360x4912;1687x1126;Astrofotografia;1120.99;538.99;21
https://as1.ftcdn.net/jpg/02/68/87/12/500_F_268871222_32If8ZnuMHRGTTrhRT6SS8xXGouWGPwA.jpg;Pine trees under milky way galaxy;Justin Mullet\Stocksy;jpeg;3648x5472;1125x1688;Astrofotografia;1120.99;538.99;88
https://as1.ftcdn.net/jpg/02/08/04/60/500_F_208046072_BC6FBQeuq0QByR9k6l5EdIWNzpdrdWse.jpg;Astrophotography scenes;JavierPardina\Stocksy;jpeg;7952x5304;1688x1126;Astrofotografia;1120.99;538.99;102
https://as1.ftcdn.net/jpg/03/72/61/10/500_F_372611006_JvFxoqJk99bTSNxX5Lps3ae5eXSJlVcv.jpg;Man observing the night sky with the Milky Way in the background while you have open arms;Marcos Osorio\ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;67
https://as1.ftcdn.net/jpg/02/72/50/90/500_F_272509097_vjeuGyoUeh82YLt7ntGfHcryxRVmseQd.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;54
https://as1.ftcdn.net/jpg/03/80/85/78/500_F_380857865_hOUGchKyLlq7rBV3TJN1XAgV32FOvJeS.jpg;Sunset\Night Sky over Lake;michelle edmonds\Stocksy;jpeg;4080x2715;1690x1124;Astrofotografia;1120.99;538.99;39
https://as2.ftcdn.net/jpg/03/80/28/91/500_F_380289135_Jd7ZuDVy38oMmcA0VfvkuH2suo4Vbe4l.jpg;Kennedy Meadows trails;Mark Esguerra\Stocksy;jpeg;7303x4874;1687x1126;Astrofotografia;1120.99;538.99;31
https://as2.ftcdn.net/jpg/03/80/87/23/500_F_380872384_hchl99xBGgCXvcJMNoCYbKCGCvCQz4JX.jpg;Starry Sky Above Silhouette Forest;Evan Dalen\Stocksy;jpeg;3017x4526;1125x1688;Astrofotografia;1120.99;538.99;62
https://as2.ftcdn.net/jpg/02/32/59/13/500_F_232591302_puc4WxY4Q2foY3oWRwZLNhmXaOhzN7Z2.jpg;The Ghost nebula in colour;Stocksy;jpeg;6000x4657;1565x1214;Astrofotografia;1120.99;538.99;93
https://as1.ftcdn.net/jpg/03/09/45/12/500_F_309451287_qrKSGm1JgcVazlEBIN2DpC7Egptfmd8S.jpg;The Monkey head nebula;Sara Wager\Stocksy;jpeg;3264x4624;1158x1641;Astrofotografia;1120.99;538.99;82
https://as2.ftcdn.net/jpg/01/74/35/43/500_F_174354358_EPRlRbMcVCb9sQUlTPTL77ZIC8cIUmiZ.jpg;male adventurer with strong headlamp sitting beside illuminated red orange under the milky way at the three peaks;Leander Nardin\Stocksy;jpeg;5760x3840;1688x1125;Astrofotografia;1120.99;538.99;3
https://as2.ftcdn.net/jpg/01/86/98/97/500_F_186989762_AFmwws0zv4X3YncsOxZETucklJ9r3Wr4.jpg;Astrophotography of M spiral galaxy;Westend61;jpeg;3301x5100;1109x1713;Astrofotografia;2240.99;1120.99;73
https://as2.ftcdn.net/jpg/03/83/53/19/500_F_383531973_pYhDfYnramHcHbb7nu8oojBCPQozexZJ.jpg;Silhouette of man star gazing on a picnic table under the Milkyway.;Cavan Images;jpeg;5725x3817;1688x1126;Astrofotografia;1120.99;538.99;92
https://as1.ftcdn.net/jpg/02/93/18/92/500_F_293189239_XaW1QDbYdx9ZU8Shob9dhMTNK6UAVBgt.jpg;Milky way over a cabbage field near Mount Bromo  East Java  Indonesia;RooM The Agency;jpeg;7360x4912;1687x1126;Astrofotografia;1120.99;538.99;44
https://as2.ftcdn.net/jpg/03/79/80/03/500_F_379800365_VJIF6djNx1EqJWuF0M5zq07SvX6fxzUJ.jpg;Night shot over mountain lake.;Dylan M Howell Photography\Stocksy;jpeg;5670x3780;1688x1125;Astrofotografia;1120.99;538.99;93
https://as1.ftcdn.net/jpg/03/82/48/28/500_F_382482885_dIAMOSphpr8TyUeOlJzWnvEFlV6jvhrO.jpg;Milky Way Rising Over Mt Fuji;Leslie Taylor\Stocksy;jpeg;4016x6016;1126x1687;Astrofotografia;1120.99;538.99;40
https://as1.ftcdn.net/jpg/03/71/24/76/500_F_371247633_g7jzmGiICKF2MmUrDe7ixEorjJ53UNn0.jpg;A dark night illuminated by endless stars;David Keller\Stocksy;jpeg;6000x4000;1688x1125;Astrofotografia;1120.99;538.99;15
https://as1.ftcdn.net/jpg/02/62/87/14/500_F_262871445_Owg6uXrv8eFgtp8BwPYuWiR6Z1bVLK9Z.jpg;Look toward our galaxy;BORISLAV ZHUYKOV\Stocksy;jpeg;6000x4000;1688x1125;Astrofotografia;1120.99;538.99;102
https://as2.ftcdn.net/jpg/03/68/28/15/500_F_368281579_pVwMbcTiFi71pZAcuZA29y4I1wGI3TBj.jpg;Old shed at night with Milky Way horizontal;Rosalie Dibben\Austockphoto;jpeg;5472x3648;1688x1125;Astrofotografia;1120.99;538.99;48
https://as1.ftcdn.net/jpg/03/80/52/26/500_F_380522670_wDOqwlzvnsCv81cZ1m6HMVqCv8LQ8NFv.jpg;milky way above the famous three peaks in the italian alps;Akela - from alp to alp\Stocksy;jpeg;3144x8104;859x2213;Astrofotografia;1120.99;538.99;102
https://as2.ftcdn.net/jpg/02/84/91/49/500_F_284914995_4diP5Oiq4p3z5pPchNWj5ovwEFQnnWqi.jpg;Joshua Trees silhouetted against the night sky in Joshua Tree National Park  California  USA;Tandem Stock;jpeg;3750x5625;1125x1688;Astrofotografia;1120.99;538.99;5
https://as2.ftcdn.net/jpg/03/80/83/17/500_F_380831725_NzYsM1vXoU0HrAOUM15knHB9fJfS8t6L.jpg;Milky Way;Adam Nixon\Stocksy;jpeg;5760x3840;1688x1125;Astrofotografia;1120.99;538.99;18
https://as1.ftcdn.net/jpg/02/07/99/60/500_F_207996026_kc90KXYZqfSkOKNpM5txxceZYm1LG80r.jpg;Astrophotography scenes;JavierPardina\Stocksy;jpeg;6965x4646;1688x1126;Astrofotografia;1120.99;538.99;104
https://as1.ftcdn.net/jpg/02/11/76/00/500_F_211760087_7XFlw5HsTsNVhEM4FvhW6xbWBh9TeW2b.jpg;Lighthouse shining in the night of stars.;Marcos Osorio\ADDICTIVE STOCK;jpeg;6755x4507;1688x1126;Astrofotografia;1120.99;538.99;45
https://as1.ftcdn.net/jpg/03/69/10/76/500_F_369107635_TqEopG50ay3zMjc47TKpcGlgqjRzUz0n.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;89
https://as1.ftcdn.net/jpg/03/69/09/80/500_F_369098009_9tk96tUeCqzdOFWfKv7Sd3jn01bQbyoa.jpg;Stars in the night sky with Milky Way;INIGO CIA DA RIVA\Stocksy;jpeg;7747x5167;1688x1126;Astrofotografia;1120.99;538.99;44
https://as1.ftcdn.net/jpg/02/08/02/24/500_F_208022416_seBMbcdd9w5RcXrGKfht4XfVFyhaVn0E.jpg;The Tadpoles in widefield in Hubble Space telescope palette;Swagastro\Stocksy;jpeg;8717x10900;1233x1541;Astrofotografia;1120.99;538.99;36
https://as2.ftcdn.net/jpg/03/80/86/47/500_F_380864729_uc2hdADUuIcJy3yFLpbTx9VxuNc1vtVf.jpg;Dark Cold Forest With Stars Above;Evan Dalen\Stocksy;jpeg;5210x3473;1688x1125;Astrofotografia;1120.99;538.99;56
